,0,1.142857,2.285714,3.428571,4.571429,5.714286,6.857143,8
0,0,0,0,0,0,0,0,0
6,0,0.351446,0.648823,0.892131,1.081371,1.216543,1.297646,1.32468
12,0,0.646413,1.193378,1.640895,1.988963,2.237584,2.386756,2.43648
18,0,0.891397,1.645656,2.262776,2.742759,3.085604,3.291311,3.35988
24,0,1.092127,2.016235,2.772323,3.360392,3.780441,4.03247,4.11648
30,0,1.253571,2.314286,3.182143,3.857143,4.339286,4.628571,4.725
36,0,1.379931,2.547566,3.502903,4.245943,4.776686,5.095131,5.20128
42,0,1.474646,2.722423,3.743331,4.537371,5.104543,5.444846,5.55828
48,0,1.540389,2.843794,3.910217,4.739657,5.332114,5.687589,5.80608
54,0,1.57907,2.915207,4.008409,4.858678,5.466012,5.830413,5.95188
60,0,1.591837,2.938776,4.040816,4.897959,5.510204,5.877551,6
66,0,1.57907,2.915207,4.008409,4.858678,5.466012,5.830413,5.95188
72,0,1.540389,2.843794,3.910217,4.739657,5.332114,5.687589,5.80608
78,0,1.474646,2.722423,3.743331,4.537371,5.104543,5.444846,5.55828
84,0,1.379931,2.547566,3.502903,4.245943,4.776686,5.095131,5.20128
90,0,1.253571,2.314286,3.182143,3.857143,4.339286,4.628571,4.725
96,0,1.092127,2.016235,2.772323,3.360392,3.780441,4.03247,4.11648
102,0,0.891397,1.645656,2.262776,2.742759,3.085604,3.291311,3.35988
108,0,0.646413,1.193378,1.640895,1.988963,2.237584,2.386756,2.43648
114,0,0.351446,0.648823,0.892131,1.081371,1.216543,1.297646,1.32468
120,0,0,0,0,0,0,0,0
